Questions,Votes,views
"I would need a help in Excel VBA. I need from I3 to I20 check all activities, find same activities in column A, then read number in colum C of that activity and sum it that there is a formula(sum or ...",0,14
"If I remove .then(anotherDropdown.remove(0)) I see ""Loading..."" as the first option as expected but if I put the above line of code back in I never see it. How can I see it and remove it ...",0,8
"I recently changed my coding program to VSC and I really like the ""Open Folder"" option to fast change between different files. But when using paths in code which depend on the motherfile ...",0,7
"I created this programpackage mainimport ""fmt""var bankAccount = 12342func withdraw(withdrawAmnt int) int { //withdraw function, return int    bankAccount -= withdrawAmnt    if ...",-3,16
"I unable to import Java jwt 3.10.0. in my spring project. Actually I was trying before version 3.15.0 but it was giving me an error in pom.xml""Dependency 'com.auth0:java-jwt:3.15.0' not found&...",0,9
"I'm having troubles with datatype inference and therefore I decided to map datatype manually, however I have discovered I can't recognize Pandas datatype as expected.import pyarrow as paimport ...",0,8
"I need to run a bunch of parallel processes, but cannot use the standard multiprocessing package since its serialization with pickle does not work for more complex objects. Therefore I'm currently ...",1,5
I'm making an API call using karate that gives an HTML response (snippet below). I'm trying to extract the value='HotelTestLondonHotel'.  I tried to use the Karate.extract but I couldn't find an ...,0,3
"I have a JS date like 2021-05-01 and time like 11:00 & AM or PM in different string. But i want my string to convert into this format 2021-05-01T:11:00+0600 . Now, i am new to JS and don't know ...",-1,22
"I've found a way for doing it in SqlServer and Oracle, and for DB2 I've read I can manage to do that with SQL Workbench, but our client is using IBM Data Studio...",0,5
I am trying to paint a component using another one. But I get NullPointerException. Any idea how to do that?package nn.broker.indicator;import javax.swing.*;import java.awt.*;public class TMP {...,0,13
"i'm trying to send an email for the reset of a password in my application and this is the method showing me the erreur:    private SimpleMailMessage constructResetTokenEmail(String contextPath, ...",0,5
"I have implemented a co-routine system. When I press ENTER to clear the first textbox, it calls contscript() which in turn calls lua_resume() but it doesn't continue the co-routine.So what do I pass ...",0,5
I need to run for loop on 2 columns coming from a dataframe and return a dict. But when i use zip I am getting only a part of a string on which the loop is running.import pandas as pddef split(...,0,15
How can I use HTML snippets inside Nunjucks files without every time changing the Language Mode?Is there an extension for HTML snippets inside Nunjucks or I can configure vscode own HTML snippets?,0,4
"def input_data(n):        if n > 0:      tup = []      tup.append(tuple(map(str, input().split("" ""))))            input_data(n - 1)      #print(tuple(tup))      return tuple(tup)...",0,27
I'm having a problem with local react-native-push-notification it's not working if the app is open and fcm notification is not tiggered. Here's my code...PushNotification.configure({      onRegister:...,0,2
"I have set up my authentication using the Firebase.Auth library by Step Up Labs, Inc. I am able to register users on Firebase and automatically send a verification link to their e-mail as shown below. ...",0,4
"I have my pandas df like below:import pandas as pdL1 = [['ID1', 0, 'key1a', 'value1a', 'pair1a'],      ['ID1', 2, 'key1c', 'value1c', 'pair1c'],      ['ID1', 1, 'key1b', 'value1b', 'pair1b'],     ...",0,12
I try to connect my Shimmer3 (http://www.shimmersensing.com/products/shimmer3-imu-sensor) with my Linux Mint Computer and try to stream the data with bluetooth. For that i use the git hub Code:https:/...,0,6
bool Sonde10::Ouvrir(const std::string nom_port_com){    boost::system::error_code ec;    //Création de la variable de retour de la fonction    bool bRetour (false);    //Création de la ...,0,15
"I got a Next-js page ( User Specific, protected page ) that is rendered client-side only ( Fetches data client-side ).Everytime I navigate from another Next-js page ( without browser refresh ) to ...",0,8
I understand that I need to change the value of the angular.json budget to avoid this warning. But I want to know how to reduce the warning number/size that is receiving am not sure what is the ...,0,10
"I have been told (from the requirements specs) that the textSize of the TextView items of my RecyclerView must be 40px. I guess then, that in order to make it responsive depending on the screen size, ...",-2,16
"I got a data frame and the type of the elements of one serial is list. like:Column [A, B] [A] [A,C] etc.I used the expressiondf[[ item == A for item in df['Column'].tolist()]]can only filter out ...",0,10
"I have installed nginx in windows 7, location is C:\nginx. I am able to run nginx commands from this location, but not able to run nginx commands from another location. Set the system variable path as ...",0,7
"Good day,I have a java web application that will send email with pdf attachment. The pdf is generated successfully, but when during send that time will hit FileNotFoundException (Operation not ...",0,5
I am working on an esp project and compiled my code by using the esp32s2 toolchain and created a binary that ready to run on a real device. But I don't have a real device to test my binary. Is there ...,0,5
"A particular question that I've been asked to do for my D.A.D class is as follows:• Write a SQL statement that does the following:• Display the StuId, Movie No, Title, Runtime, Rating code, Rating ...",0,25
"I have found a good formatter as a Visual Studio Code Extension for the programming language I'm using. As usual, the code document can be formatted by right clicking and running the action (or by ...",0,4
"I have 2D array, and I have a list of arrays which contain j and i coordinates to access values in the 2D array. How can I do this without the loop?F.e. my list of arrays has one array with [0,1,2] ...",0,6
"I had knowledge about java so I  tried writing an if block within the for block saying,for i in range(25):    if i == 9:        i = 18    print(i)This code logic works in java but not in python. ...",-1,48
"Let me keep it simpleInput:{  ""latitude"": 0.0000000,  ""longitude"": 0.00000000}dw code:output application/json---{  location: {    ""lat"": payload.latitude,    ...",0,9
how do I make the program ask for a name and then alternate the result in uppercase and lowercase?Example:How is your name?georgeHello GeOrGeThanks,0,13
I tried making 2 functions that use sqlite3 in python but when I run the code the functions would run even when not called.Whenever I run the program set_prod_ID() would run even though I only called ...,0,12
"Hi everyone, i have a Drag&Drop issue, how do i disable absolutely positioned items from dragging into previous item's position?cdkDropListSortingDisabled doesnt cut it",0,5
I'm creating a kotlin app. I'm new in kotlin. I download audios in my app. I have this code for downloading audio:coroutineScope.launch(Dispatchers.Default) {    val audioOutStream: OutputStream    ...,0,14
Folks..!!Have a requirement to work on reading specific column data by using Spring batch. Well i am creating a spring batch application which has a requirement to read specific column.In my csv ...,0,6
I know spring return response 200 default when @RestController.(Even if I set controller method return type to void and didn't return anything)I tried looking for specific position that spring ...,0,4
"i'm getting a mistake, i want to use the post method with OOP, but i didin't find the error.<?php include 'config.php';class crud {private $db;private $dbhost = DBHOST;private $dbuser = ...",-3,21
"When I try to create a new rule base, copy the Ex exist quantifier that has been defined in ""Isabelle2017\src\HOL\HOL.thy"", it will report an error, and use code_Q for mapping will also ...",-1,7
Good morning.Thanks to the code provided here WooCommerce - get shipping country for non registered user I managed to add the correct discount to my checkout.A brief resume: I had to discount the ...,0,9
"I have a simple discord bot made using python and I have deployed it on Heroku. My bot is running perfectly fine locally, but it never comes online. When I open my app, there is an application error....",-1,6
"So i need a example of how to save the data to mongoose when my discord bot restarts, but idk how..Im thinking on a thingy if the bot restarts, with the ready event,to get the data of the command ...",0,7
"I have written a Python-based application, which I then containerized and pushed into AWS ECR.The image is then pulled from a k8s Job and runs for however long it takes, until it is done. This could ...",0,9
"We are using TagEditor for creating tag but when we call the url its call all value. Can anyone help related this issue.<script type=""text/javascript"">           var cache = {};    ...",0,12
I have a working script that finds the data file when it is in the same directory as the script. This works both on my local machine and Google Colab.When I try it on GCP though it can not find the ...,0,6
"I have an XPages application for Swedish users.When I am sending a message to the facescontext viamsg = propStrings.getProperty(""gen_CustDateDecided"") ;FacesContext facesContext = ...",0,8
"I want to play default video on loop, but when button is clicked, I want to play another video once, and then go back to the video that was playing.Right now i can press button to switch to vid2, but ...",0,16
I have the following expression:[\?&]([\w-]+)=([\w=.|()+%-]+)And i'm trying to validate the following querystring:?tn_cid=280&tn_fk_specifications_planten_planttype=Groene%20kamer+planten|...,0,15
